file,kernel,comp,rational,mem,localmem,coalesced,atomic,F2:coalesced/mem,F4:comp/mem
02458f72381047436e7206f689885272c29d473b.cl,A,0,0,0,0,0,0,0,0
0246110fbb4c1727e8f2a4a1a19b3be8e4dff707.cl,A,3,2,9,0,7,0,0.778,0.333
02480c6065b43e2bdeb63bfab98e696857ef7be8.cl,A,1,3,5,0,3,0,0.6,0.2
02494ae389f507d520675ac7cd95265919e4dad8.cl,A,1,0,3,0,3,0,1,0.333
024a7daf579112904e16b6043eb362ff4c310ff7.cl,A,4,1,4,0,3,0,0.75,1
024bbe3d9daaea6e4ac3e6870483112a2230d144.cl,A,1,1,3,0,2,0,0.667,0.333
024bc43764d22f934f8f44cd4e243df18559089e.cl,A,1,2,1,0,1,0,1,1
024c772cbe0e3309d4033fa4076d459a7b175ca2.cl,A,2,1,3,0,1,0,0.333,0.667
024da9ff5a727523cef32c0fda032514ec772a59.cl,A,0,0,4,0,2,0,0.5,0
02506e92822e86d87ce0890e7cdd32d600740ee2.cl,A,3,1,5,0,4,0,0.8,0.6
0250f70b192b9f2dead60d5f3f0e7deb16c8f87d.cl,A,1,0,1,0,1,0,1,1
02521e1cd090815d4302081b6eff21d1ea31d8a9.cl,A,1,2,4,0,4,0,1,0.25
025242f1b90e1b1689c2abcf5a6c37502a68a8e7.cl,A,0,1,1,0,1,0,1,0
02526ebb4f9c66f41518afe0df2f843bbd474c92.cl,A,5,1,6,0,6,0,1,0.833
02538b137813c54a4f3855406dc7fc3f6202a8b5.cl,A,1,1,3,0,3,0,1,0.333
0253fdce8baaf34eeff3daba9933d0ff68eb2c4c.cl,A,2,1,4,0,3,0,0.75,0.5
025416958d535b0ee560474adfa17e46e8da5695.cl,A,2,1,4,0,4,0,1,0.5
0254dbb57fc1b43a7d9f3e2c7aa0a336f2243f3e.cl,A,0,0,1,0,0,0,0,0
02568e94a6fb886ada53154e95a05989b3b6b47f.cl,A,0,2,4,0,3,0,0.75,0
0257192b2928cf5d40cbcbc771614e041b53c205.cl,A,2,2,5,0,4,0,0.8,0.4
025861acc07ef8161404316ec67d4fc525288aeb.cl,A,0,1,1,0,1,0,1,0
